ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO
817824,714,PREPOLJE,STARŠE,1243,1,,,1,,,,,,4,2016,1,,,38.1,1/1,,,,,0,,,"34 - shramba, sušilnica, pralnica",pritličje,,38.1,38.1," shramba, sušilnica, pralnica",,,556327.38,144259.76,2024
812593,1731,UDMAT,LJUBLJANA,952,3,,,1,LJUBLJANA,PRVOMAJSKA ULICA,1,,8,2,1933,1,,,25.2,1/1,,,,,0,,,2 - stanovanje,klet,,25.2,25.2, bivalni prostor,,,463782.12,101843.12,2024
821107,2304,NOVA GORICA,NOVA GORICA,1845,13,,,1,NOVA GORICA,STRELIŠKA POT,14,,,3,1999,1,,,12.6,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.6,12.6, garažni parkirni prostor,,,394363.42,91080.04,2024
812123,1467,DRUŽINSKA VAS,ŠMARJEŠKE TOPLICE,1,1,,,1,,,,,,13,1998,1,,,20,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,20,20, kmetijski prostor,,,520328.31,82102.49,2024
812234,2100,KRANJ,KRANJ,246,13,,,1,KRANJ,GOSPOSVETSKA ULICA,15,,13,2,1962,1,,,77,1/1,,,,,0,,,2 - stanovanje,nadstropje,,77,68.9," bivalni prostor | klet | odprta terasa, balkon, loža",,,450060.66,123468.31,2024
813761,681,POBREŽJE,MARIBOR,6173,252,,,1,MARIBOR,ULICA VELJKA VLAHOVIĆA,64,,252,3,2009,1,,0,18.5,1/1,,,,,0,,,15 - garaža,klet,,18.5,18.5, garaža,,,551983.81,157166.68,2024
823701,2156,RADOVLJICA,RADOVLJICA,439,34,,,1,RADOVLJICA,GORENJSKA CESTA,33,c,34,6,1993,1,,,23.5,1/1,,,,,0,,,9 - poslovni del stavbe,nadstropje,,23.5,23.5, poslovni prostor,,,436149.5,134351.31,2024
814238,1872,DOBOVEC,TRBOVLJE,302,1,,,1,,,,,,1,1950,1,,,115.3,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,115.3,115.3, bivalni prostor,,,504596.38,108020.65,2024
814563,2706,ZELENA JAMA,LJUBLJANA,404,11,,,1,,,,,4,14,1960,1,,,3.1,1/1,,,,,0,,,33 - klet,klet,,3.1,3.1, klet,,,464057.37,102810.94,2024
809873,1625,RIBNICA,RIBNICA,198,1,,,1,RIBNICA,OPEKARSKA CESTA,6,,,1,1800,1,,,208.2,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,208.2,117.4, bivalni prostor | klet,,,478543.25,66543.66,2024
811420,2307,STARA GORA,NOVA GORICA,528,1,,,1,STARA GORA,STARA GORA,4,,,1,1930,1,,,61.4,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,61.4,48.4," bivalni prostor | odprta terasa, balkon, loža",,,397573.14,88915.43,2024
812483,1077,CELJE,CELJE,3531,1,,,1,CELJE,TEHARSKA CESTA,13,,1,2,1890,1,,,64.6,2/6,,,,,0,,,2 - stanovanje,pritličje,,64.6,61.9," bivalni prostor | zaprta terasa, balkon, loža",,,520977.18,121274.66,2024
815201,1755,GLINCE,LJUBLJANA,1913,1,,,1,,,,,,15,2011,1,,,5.6,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,5.6,5.6, kmetijski prostor,,,457657.56,104515.27,2024
821616,2122,HUJE,KRANJ,711,59,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,,,450922.48,121687.07,2024
823403,2605,KOPER,KOPER,196,20,,,1,,,,,,14,1985,1,,,3.8,117/125,,,,,0,,,"34 - shramba, sušilnica, pralnica",pritličje,,3.8,3.8," shramba, sušilnica, pralnica",,,400724.84,46116.8,2024
809967,2631,PORTOROŽ,PIRAN,3328,1,,,1,LUCIJA,ULICA ISTRSKEGA ODREDA,2,,1,2,1974,1,,,112.4,1/1,,,,,0,,,47 - stanovanje v dvostanovanjski stavbi,nadstropje,,112.4,93.7," bivalni prostor | odprta terasa, balkon, loža | zaprta terasa, balkon, loža",,,390828.28,41899.51,2024
808595,1723,VIČ,LJUBLJANA,9921,26,,,1,,,,,,3,2014,1,,,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,,,458351.6,100503.05,2024
824337,1959,DOMŽALE,DOMŽALE,19595045,50454,2298/82,1959-5045-4,2,,,,,,2,2023,1,,1,,1/1,68.5,,,,,,,,,,,,-,,,469787.64,112219.67,2024
816159,657,MARIBOR-GRAD,MARIBOR,1112,2,,,1,MARIBOR,KREKOVA ULICA,21,,10,2,1940,1,,,95.1,1/2,,,,,0,,,2 - stanovanje,nadstropje,,95.1,67.9," bivalni prostor | shramba, sušilnica, pralnica",,,549435.98,158224.44,2024
811967,1911,KAMNIK,KAMNIK,2007,87,,,1,KAMNIK,USNJARSKA CESTA,16,,,11,2002,1,,,15.5,1/1,,,,,0,,,16 - garažno parkirno mesto,pritličje,,15.5,15.5, garažni parkirni prostor,,,470053.76,120512.18,2024
811238,1457,ŽDINJA VAS,NOVO MESTO,532,1,,,1,TRŠKA GORA,TRŠKA GORA,197,,,1,1978,1,,,94,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,94,37.6," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,514338.42,78251.09,2024
811862,1871,TRBOVLJE,TRBOVLJE,252,3,,,1,TRBOVLJE,KEŠETOVO,1,,3,2,1963,1,,,56.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,56.3,51.6," bivalni prostor | klet | odprta terasa, balkon, loža",,,503804.87,112653.47,2024
816134,1736,BRINJE I,LJUBLJANA,850,23,,,1,LJUBLJANA,ŠARHOVA ULICA,18,,8,14,1965,1,,,3.9,1/1,,,,,0,,,33 - klet,klet,,3.9,3.9, klet,,,462094.35,104506.47,2024
817198,1148,JAVORJE,ŠENTJUR,493,1,,,1,,,,,,13,1941,1,,,21,1/1,,,,,0,,,29 - del stavbe za spravilo pridelka,pritličje,,21,21, kmetijski prostor,,,535866.59,115142.23,2024
